                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5084,                 4.5424,                 2.0006,                0.57088,                0.47417,                0.52404,                0.27605,                 1.6671,                 2.3889,                 2.5097,               0.070221,              0.0033088,              0.0033088
                      1,                 1.2375,                 1.7572,                 1.7035,                0.71317,                0.64317,                0.72232,                0.40127,                 1.5609,                 1.6921,                 2.5082,               0.039958,              0.0063791,              0.0063791
                      2,                 1.2343,                 1.4799,                 1.6962,                0.62876,                0.70048,                0.69486,                 0.3788,                 1.7436,                 1.7741,                 2.7349,              0.0094305,              0.0091854,              0.0091854
                      3,                 1.2661,                 1.4957,                  1.724,                0.68348,                0.65133,                0.72421,                 0.3942,                  1.592,                 1.7356,                  2.568,               0.008812,               0.008812,               0.008812
                      4,                  1.236,                 1.4022,                  1.702,                0.67681,                0.67114,                0.73509,                0.40476,                 1.6294,                 1.6295,                 2.6858,               0.008812,               0.008812,               0.008812
                      5,                 1.1993,                 1.2762,                 1.6642,                0.71271,                0.64981,                0.73216,                0.40537,                 1.6076,                 1.5484,                 2.5566,               0.008416,               0.008416,               0.008416
                      6,                 1.1745,                  1.193,                 1.6347,                0.85512,                0.70513,                0.82359,                0.46258,                 1.5077,                 1.3002,                 2.4449,                0.00802,                0.00802,                0.00802
                      7,                 1.1383,                 1.1124,                 1.5971,                0.75415,                0.77202,                0.81369,                0.46606,                 1.5199,                 1.2189,                 2.4634,               0.007624,               0.007624,               0.007624
                      8,                 1.0993,                 1.0301,                 1.5671,                0.81842,                 0.7341,                0.82786,                0.49583,                 1.5026,                  1.239,                 2.4144,               0.007228,               0.007228,               0.007228
                      9,                 1.0524,                0.95975,                 1.5308,                0.86662,                0.80996,                0.87633,                0.50119,                 1.5428,                 1.0551,                 2.4323,               0.006832,               0.006832,               0.006832
                     10,                 1.0257,                0.92008,                 1.5048,                0.86564,                0.82112,                 0.8771,                0.51587,                 1.4505,                 1.0692,                 2.3627,               0.006436,               0.006436,               0.006436
                     11,                 1.0016,                0.90534,                 1.4862,                0.86873,                0.85944,                0.89567,                0.54569,                 1.4238,                0.90696,                 2.2885,                0.00604,                0.00604,                0.00604
                     12,                0.97353,                0.85899,                 1.4655,                 0.8758,                0.86756,                0.90134,                0.56724,                 1.3296,                0.87744,                 2.2546,               0.005644,               0.005644,               0.005644
                     13,                 0.9579,                0.80611,                 1.4389,                0.89615,                0.86764,                0.91614,                 0.5764,                 1.3371,                0.89205,                 2.2585,               0.005248,               0.005248,               0.005248
                     14,                0.91713,                0.75509,                 1.4088,                0.91504,                0.83582,                0.91556,                0.58205,                 1.3921,                 0.8525,                 2.2973,               0.004852,               0.004852,               0.004852
                     15,                0.86169,                0.59201,                 1.5409,                0.88757,                0.88391,                0.92386,                0.59686,                 1.2948,                0.80176,                 2.2368,               0.004456,               0.004456,               0.004456
                     16,                0.80681,                0.54793,                 1.4972,                0.89258,                0.87512,                 0.9281,                0.57648,                 1.3504,                0.82818,                 2.2779,                0.00406,                0.00406,                0.00406
                     17,                0.77148,                0.50104,                 1.4483,                0.91882,                0.86581,                0.92806,                 0.5892,                 1.3156,                0.79417,                 2.2672,               0.003664,               0.003664,               0.003664
                     18,                 0.7047,                0.46024,                  1.386,                0.92256,                 0.8848,                0.94919,                0.60849,                 1.3348,                0.78583,                 2.3522,               0.003268,               0.003268,               0.003268
                     19,                 0.6754,                0.43596,                  1.353,                0.91132,                0.85471,                 0.9143,                0.61293,                  1.303,                0.74875,                 2.3218,               0.002872,               0.002872,               0.002872
                     20,                0.61935,                 0.4041,                 1.3011,                0.91582,                0.90168,                0.93152,                0.62877,                 1.2516,                 0.6934,                  2.282,               0.002476,               0.002476,               0.002476
                     21,                0.59045,                0.38106,                 1.2721,                0.93885,                 0.9023,                0.94656,                0.61484,                 1.3134,                0.69243,                 2.4189,                0.00208,                0.00208,                0.00208
                     22,                0.55466,                0.35623,                 1.2325,                0.95151,                0.89391,                0.94569,                0.61036,                 1.3172,                0.65553,                 2.4561,               0.001684,               0.001684,               0.001684
                     23,                0.51328,                0.33386,                 1.1841,                 0.9498,                0.88966,                0.94045,                0.62374,                 1.2797,                0.66177,                 2.4033,               0.001288,               0.001288,               0.001288
                     24,                0.49343,                  0.319,                 1.1576,                0.91786,                0.91675,                0.94912,                0.63177,                 1.2773,                0.65826,                 2.4681,               0.000892,               0.000892,               0.000892
